[2026-06-02 16:59:25] User Артëм (@Supp0rt_Officer, id=1946853881): Сообщение: Д
[2026-06-02 16:59:45] User Артëм (@Supp0rt_Officer, id=1946853881): Сообщение: /start
[2026-06-02 17:00:07] User Артëм (@Supp0rt_Officer, id=1946853881): Сообщение: Секрет
[2026-06-02 17:08:45] User Артëм (@Supp0rt_Officer, id=1946853881): Сообщение: /sinema
[2026-06-02 17:08:51] User Артëм (@Supp0rt_Officer, id=1946853881): Сообщение: /sinema
[2026-06-02 17:08:56] User Артëм (@Supp0rt_Officer, id=1946853881): Сообщение: /cinema
[2026-06-02 17:14:50] User Артëм (@Supp0rt_Officer, id=1946853881): Сообщение: /cinema
[2026-06-02 17:14:54] User Артëм (@Supp0rt_Officer, id=1946853881): Нажал кнопку: day_today
[2026-06-02 17:15:01] User Артëм (@Supp0rt_Officer, id=1946853881): Сообщение: /cinema
[2026-06-02 17:15:02] User Артëм (@Supp0rt_Officer, id=1946853881): Нажал кнопку: day_tomorrow
[2026-06-02 17:28:13] User Артëм (@Supp0rt_Officer, id=1946853881): Сообщение: /cinema
[2026-06-02 17:28:16] User Артëм (@Supp0rt_Officer, id=1946853881): Нажал кнопку: day_today
[2026-06-02 17:32:50] User Артëм (@Supp0rt_Officer, id=1946853881): Сообщение: /cinema
[2026-06-02 17:32:53] User Артëм (@Supp0rt_Officer, id=1946853881): Нажал кнопку: day_today
[2026-06-02 17:33:24] User Артëм (@Supp0rt_Officer, id=1946853881): Сообщение: /start
[2026-06-02 17:33:28] User Артëм (@Supp0rt_Officer, id=1946853881): Сообщение: /cinema
[2026-06-02 17:33:30] User Артëм (@Supp0rt_Officer, id=1946853881): Нажал кнопку: day_tomorrow
[2026-06-02 17:36:10] User Артëм (@Supp0rt_Officer, id=1946853881): Сообщение: 🎬 Кино в Кемерово
[2026-06-02 17:36:12] User Артëм (@Supp0rt_Officer, id=1946853881): Нажал кнопку: day_today
[2026-06-02 17:42:56] User Артëм (@Supp0rt_Officer, id=1946853881): Сообщение: /cinema
[2026-06-02 17:42:58] User Артëм (@Supp0rt_Officer, id=1946853881): Нажал кнопку: day_today
[2026-06-02 17:43:04] User Артëм (@Supp0rt_Officer, id=1946853881): Нажал кнопку: movie_Дьявол носит Prada 2
[2026-06-02 17:43:21] User Артëм (@Supp0rt_Officer, id=1946853881): Нажал кнопку: remind_Дьявол носит Prada 2
[2026-06-02 17:43:25] User Артëм (@Supp0rt_Officer, id=1946853881): Нажал кнопку: back_to_movies
[2026-06-02 17:43:27] User Артëм (@Supp0rt_Officer, id=1946853881): Нажал кнопку: movie_Голодные игры: Рассвет Жатвы
[2026-06-02 17:45:51] User Артëм (@Supp0rt_Officer, id=1946853881): Сообщение: /cinema
